"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 10, 2023","20.904","20.282","20.950","20.082","2.49M","3.05%"
"Apr 09, 2023","20.285","20.043","20.425","19.900","1.37M","1.20%"
"Apr 08, 2023","20.043","20.446","20.726","19.900","2.40M","-1.97%"
"Apr 07, 2023","20.446","20.623","20.773","20.253","1.76M","-0.84%"
"Apr 06, 2023","20.620","20.963","20.988","20.466","2.33M","-1.67%"
"Apr 05, 2023","20.970","20.922","21.333","20.632","3.58M","0.23%"
"Apr 04, 2023","20.922","20.446","21.238","20.324","3.31M","2.33%"
"Apr 03, 2023","20.446","20.520","20.990","19.992","5.70M","-0.38%"
"Apr 02, 2023","20.524","21.080","21.294","20.250","2.28M","-2.60%"
"Apr 01, 2023","21.072","21.165","21.310","20.796","2.24M","-0.44%"
"Mar 31, 2023","21.165","20.547","21.462","20.072","4.18M","2.97%"
"Mar 30, 2023","20.555","21.110","21.648","20.160","5.96M","-2.63%"
"Mar 29, 2023","21.110","20.460","21.536","20.430","4.44M","3.21%"
"Mar 28, 2023","20.453","19.900","20.820","19.620","4.68M","2.78%"
"Mar 27, 2023","19.900","20.954","20.982","19.448","4.72M","-5.04%"
"Mar 26, 2023","20.957","20.425","21.117","20.295","2.38M","2.60%"
"Mar 25, 2023","20.425","20.659","20.969","20.129","3.11M","-1.13%"
"Mar 24, 2023","20.659","22.184","22.270","20.308","8.00M","-6.87%"
"Mar 23, 2023","22.184","21.434","22.741","21.172","7.73M","3.54%"
"Mar 22, 2023","21.425","22.574","23.062","21.019","12.39M","-5.09%"
"Mar 21, 2023","22.574","22.150","23.316","21.578","9.94M","1.93%"
"Mar 20, 2023","22.147","21.855","23.893","21.448","15.17M","1.34%"
"Mar 19, 2023","21.855","21.218","22.428","21.214","6.10M","3.02%"
"Mar 18, 2023","21.215","21.628","22.850","21.091","10.59M","-1.89%"
"Mar 17, 2023","21.624","19.697","21.669","19.437","9.17M","9.79%"
"Mar 16, 2023","19.697","19.261","19.888","18.927","6.62M","2.26%"
"Mar 15, 2023","19.261","20.914","21.463","18.773","11.64M","-7.90%"
"Mar 14, 2023","20.914","20.428","22.081","19.802","14.88M","2.40%"
"Mar 13, 2023","20.425","20.184","21.367","18.907","16.74M","1.19%"
"Mar 12, 2023","20.184","18.113","20.452","17.757","9.04M","11.43%"
"Mar 11, 2023","18.113","18.202","18.896","17.011","9.26M","-0.52%"
"Mar 10, 2023","18.208","17.326","18.352","16.060","15.88M","5.00%"
"Mar 09, 2023","17.341","18.410","18.745","16.819","12.51M","-5.81%"
"Mar 08, 2023","18.410","20.236","20.380","18.214","9.32M","-9.02%"
"Mar 07, 2023","20.236","20.610","20.950","19.732","5.23M","-1.81%"
"Mar 06, 2023","20.610","20.970","21.140","20.490","3.70M","-1.74%"
"Mar 05, 2023","20.974","20.988","21.663","20.850","3.06M","-0.07%"
"Mar 04, 2023","20.988","21.423","21.598","20.330","2.20M","-2.03%"
"Mar 03, 2023","21.423","21.997","22.017","20.470","5.33M","-2.61%"
"Mar 02, 2023","21.997","22.520","22.633","21.680","3.17M","-2.32%"
"Mar 01, 2023","22.520","21.880","22.854","21.670","3.37M","2.93%"
"Feb 28, 2023","21.880","22.677","22.740","21.784","3.45M","-3.52%"
"Feb 27, 2023","22.677","23.274","23.400","22.337","5.08M","-2.56%"
"Feb 26, 2023","23.274","22.377","23.514","22.223","3.56M","4.00%"
"Feb 25, 2023","22.378","23.080","23.310","21.508","5.47M","-3.04%"
"Feb 24, 2023","23.080","23.912","24.118","22.526","6.20M","-3.50%"
"Feb 23, 2023","23.918","24.162","24.680","23.626","5.59M","-1.01%"
"Feb 22, 2023","24.162","24.980","25.210","23.252","9.48M","-3.27%"
"Feb 21, 2023","24.980","26.260","26.598","24.617","8.79M","-4.82%"
"Feb 20, 2023","26.245","24.860","27.043","24.214","13.67M","5.53%"
"Feb 19, 2023","24.869","23.453","25.584","23.228","10.60M","6.04%"
"Feb 18, 2023","23.453","23.148","23.905","22.932","3.53M","1.32%"
"Feb 17, 2023","23.148","22.282","23.535","22.077","6.07M","3.83%"
"Feb 16, 2023","22.293","23.880","24.133","22.227","9.34M","-6.65%"
"Feb 15, 2023","23.880","21.840","23.930","21.462","7.47M","9.33%"
"Feb 14, 2023","21.842","20.774","22.306","20.684","9.76M","5.13%"
"Feb 13, 2023","20.777","21.500","21.569","19.780","8.57M","-3.37%"
"Feb 12, 2023","21.502","20.813","22.364","20.630","5.91M","3.31%"
"Feb 11, 2023","20.813","20.122","20.901","20.102","2.61M","3.43%"
"Feb 10, 2023","20.122","20.480","21.190","19.699","7.25M","-1.75%"
"Feb 09, 2023","20.480","23.215","23.342","20.065","8.53M","-11.78%"
"Feb 08, 2023","23.215","23.832","24.180","22.832","5.16M","-2.56%"
"Feb 07, 2023","23.825","22.652","23.937","22.568","6.46M","5.18%"
"Feb 06, 2023","22.652","23.464","23.722","22.536","4.68M","-3.46%"
"Feb 05, 2023","23.464","24.350","24.452","23.048","6.07M","-3.64%"
"Feb 04, 2023","24.350","24.670","24.933","24.253","2.64M","-1.30%"
"Feb 03, 2023","24.670","24.254","25.069","24.057","6.79M","1.72%"
"Feb 02, 2023","24.254","25.007","26.130","24.157","10.40M","-2.93%"
"Feb 01, 2023","24.986","23.923","25.190","22.540","10.57M","4.44%"
"Jan 31, 2023","23.923","23.966","24.400","23.507","5.77M","-0.18%"
"Jan 30, 2023","23.966","26.103","26.305","23.395","10.79M","-8.17%"
"Jan 29, 2023","26.097","24.010","26.748","23.757","10.70M","8.67%"
"Jan 28, 2023","24.016","24.424","25.117","23.783","4.72M","-1.66%"
"Jan 27, 2023","24.420","24.349","24.917","23.441","7.30M","0.29%"
"Jan 26, 2023","24.349","24.510","25.197","23.897","7.66M","-0.66%"
"Jan 25, 2023","24.510","22.767","25.368","22.320","12.13M","7.66%"
"Jan 24, 2023","22.767","24.316","25.170","22.452","8.78M","-6.37%"
"Jan 23, 2023","24.316","24.222","24.884","23.901","9.47M","0.39%"
"Jan 22, 2023","24.222","24.550","25.413","23.666","10.59M","-1.32%"
"Jan 21, 2023","24.547","25.550","26.424","24.547","19.01M","-3.93%"
"Jan 20, 2023","25.550","21.420","25.703","20.951","14.86M","19.28%"
"Jan 19, 2023","21.420","20.849","21.836","20.440","9.27M","2.74%"
"Jan 18, 2023","20.849","22.870","23.577","20.534","16.64M","-8.84%"
"Jan 17, 2023","22.870","23.578","23.936","22.779","9.21M","-3.00%"
"Jan 16, 2023","23.578","22.890","24.859","22.370","16.39M","2.97%"
"Jan 15, 2023","22.897","24.233","24.813","22.056","17.06M","-5.57%"
"Jan 14, 2023","24.247","18.287","24.641","18.206","39.69M","32.59%"
"Jan 13, 2023","18.287","16.600","18.577","16.330","16.31M","10.16%"
"Jan 12, 2023","16.600","16.365","16.930","15.714","14.51M","1.48%"
"Jan 11, 2023","16.357","16.194","16.572","15.334","10.45M","1.01%"
"Jan 10, 2023","16.194","16.258","16.690","15.604","13.99M","-0.44%"
"Jan 09, 2023","16.266","14.446","17.453","14.304","31.73M","12.32%"
"Jan 08, 2023","14.482","13.094","14.599","12.860","9.87M","10.60%"
"Jan 07, 2023","13.094","13.500","13.508","13.026","3.28M","-3.15%"
"Jan 06, 2023","13.520","13.420","13.576","12.740","9.15M","0.75%"
"Jan 05, 2023","13.420","13.442","13.850","12.954","9.58M","-0.14%"
"Jan 04, 2023","13.438","13.377","14.166","12.861","20.70M","0.51%"
"Jan 03, 2023","13.370","11.274","13.646","11.018","22.97M","18.59%"
"Jan 02, 2023","11.274","10.000","11.637","9.815","13.25M","12.74%"
"Jan 01, 2023","10.000","9.955","10.080","9.705","4.58M","0.45%"
"Dec 31, 2022","9.955","9.903","10.170","9.670","6.79M","0.61%"
"Dec 30, 2022","9.895","9.647","10.121","9.029","23.46M","2.45%"
"Dec 29, 2022","9.658","9.760","9.928","8.085","20.96M","-1.04%"
"Dec 28, 2022","9.760","11.090","11.110","9.480","13.99M","-11.99%"
"Dec 27, 2022","11.090","11.339","11.430","10.732","5.10M","-2.20%"
"Dec 26, 2022","11.339","11.390","11.485","11.102","2.91M","-0.41%"
"Dec 25, 2022","11.385","11.450","11.550","11.250","1.73M","-0.57%"
"Dec 24, 2022","11.450","11.781","11.790","11.205","4.62M","-2.84%"
"Dec 23, 2022","11.785","11.810","12.105","11.725","3.12M","-0.21%"
"Dec 22, 2022","11.810","12.140","12.185","11.684","3.75M","-2.72%"
"Dec 21, 2022","12.140","12.265","12.280","11.905","3.19M","-1.06%"
"Dec 20, 2022","12.270","11.940","12.475","11.845","3.77M","2.76%"
"Dec 19, 2022","11.940","12.380","12.580","11.690","4.97M","-3.48%"
"Dec 18, 2022","12.370","12.510","12.599","12.275","2.57M","-1.08%"
"Dec 17, 2022","12.505","12.281","12.535","11.940","4.94M","1.86%"
"Dec 16, 2022","12.276","14.040","14.164","12.021","8.15M","-12.60%"
"Dec 15, 2022","14.046","14.124","14.500","13.880","4.65M","-0.55%"
"Dec 14, 2022","14.124","13.877","14.936","13.807","8.27M","1.73%"
"Dec 13, 2022","13.883","13.314","14.106","12.780","6.00M","4.28%"
"Dec 12, 2022","13.314","13.420","13.480","12.831","4.32M","-0.82%"
"Dec 11, 2022","13.423","13.577","13.790","13.397","1.83M","-1.13%"
"Dec 10, 2022","13.577","13.580","13.700","13.543","1.38M","-0.02%"
"Dec 09, 2022","13.580","13.690","14.007","13.510","3.64M","-0.80%"
"Dec 08, 2022","13.690","13.493","13.763","13.280","3.13M","1.46%"
"Dec 07, 2022","13.493","14.300","14.324","13.470","4.03M","-5.64%"
"Dec 06, 2022","14.300","13.825","14.351","13.810","4.87M","3.45%"
"Dec 05, 2022","13.823","13.707","14.165","13.600","5.42M","0.82%"
"Dec 04, 2022","13.710","13.293","13.750","13.272","2.44M","3.14%"
"Dec 03, 2022","13.293","13.713","13.753","13.235","2.63M","-3.07%"
"Dec 02, 2022","13.713","13.510","13.783","13.337","4.04M","1.55%"
"Dec 01, 2022","13.504","14.144","14.184","13.406","4.02M","-4.61%"
"Nov 30, 2022","14.157","13.350","14.285","13.273","6.17M","6.07%"
"Nov 29, 2022","13.346","13.324","13.930","13.156","4.34M","0.16%"
"Nov 28, 2022","13.324","14.107","14.166","12.786","8.10M","-5.58%"
"Nov 27, 2022","14.111","14.170","14.440","14.056","3.61M","-0.39%"
"Nov 26, 2022","14.166","14.014","14.920","13.976","4.68M","1.12%"
"Nov 25, 2022","14.010","14.586","14.590","13.912","4.79M","-3.95%"
"Nov 24, 2022","14.586","14.362","14.904","13.848","7.88M","1.56%"
"Nov 23, 2022","14.362","12.429","14.438","12.403","12.71M","15.62%"
"Nov 22, 2022","12.422","11.836","12.494","10.960","8.81M","4.95%"
"Nov 21, 2022","11.836","12.274","12.277","11.296","8.00M","-3.57%"
"Nov 20, 2022","12.274","12.834","13.463","12.135","6.63M","-4.33%"
"Nov 19, 2022","12.830","12.677","12.964","12.643","4.32M","-2.70%"
"Nov 18, 2022","13.186","13.723","13.723","12.996","4.88M","-3.96%"
"Nov 17, 2022","13.730","14.173","14.477","12.973","10.01M","-3.13%"
"Nov 16, 2022","14.173","14.311","14.601","13.653","6.17M","-0.99%"
"Nov 15, 2022","14.315","13.989","15.050","13.832","10.94M","2.33%"
"Nov 14, 2022","13.989","13.157","14.953","12.163","16.92M","6.33%"
"Nov 13, 2022","13.157","14.544","14.702","13.043","10.92M","-9.54%"
"Nov 12, 2022","14.544","16.451","16.451","14.474","9.72M","-11.59%"
"Nov 11, 2022","16.451","17.645","18.265","15.189","22.28M","-6.73%"
"Nov 10, 2022","17.638","14.016","18.805","13.193","41.67M","25.84%"
"Nov 09, 2022","14.016","24.335","24.344","12.445","50.78M","-42.35%"
"Nov 08, 2022","24.314","29.616","31.512","21.003","40.35M","-17.86%"
"Nov 07, 2022","29.599","32.627","33.105","28.445","13.55M","-9.28%"
"Nov 06, 2022","32.627","36.893","37.035","32.408","6.47M","-11.52%"
"Nov 05, 2022","36.874","33.740","38.729","33.683","10.20M","9.30%"
"Nov 04, 2022","33.737","30.860","34.183","30.667","6.11M","9.32%"
"Nov 03, 2022","30.860","30.810","32.223","30.624","3.30M","0.15%"
"Nov 02, 2022","30.813","32.210","32.930","30.240","5.04M","-4.32%"
"Nov 01, 2022","32.203","32.564","33.386","32.160","3.01M","-1.13%"
"Oct 31, 2022","32.571","32.940","34.363","32.223","4.82M","-1.10%"
"Oct 30, 2022","32.933","32.873","33.533","31.994","2.94M","0.18%"
"Oct 29, 2022","32.873","32.056","33.830","31.856","4.91M","2.56%"
"Oct 28, 2022","32.053","30.590","32.524","30.130","4.47M","4.76%"
"Oct 27, 2022","30.596","31.303","32.243","30.486","5.30M","-2.23%"
"Oct 26, 2022","31.294","30.883","32.064","30.684","5.51M","1.32%"
"Oct 25, 2022","30.887","28.302","32.280","28.053","6.62M","9.14%"
"Oct 24, 2022","28.300","29.295","29.472","28.178","3.35M","-3.39%"
"Oct 23, 2022","29.293","28.005","29.405","27.843","2.88M","4.59%"
"Oct 22, 2022","28.008","28.103","28.173","27.500","1.81M","-0.34%"
"Oct 21, 2022","28.103","28.031","28.283","26.864","4.55M","0.24%"
"Oct 20, 2022","28.037","28.857","29.463","27.997","3.59M","-2.84%"
"Oct 19, 2022","28.857","30.140","30.240","28.766","2.59M","-4.26%"
"Oct 18, 2022","30.140","31.213","31.470","29.803","3.03M","-3.44%"
"Oct 17, 2022","31.213","30.167","31.283","29.837","2.48M","3.47%"
"Oct 16, 2022","30.167","29.594","30.506","29.576","1.33M","1.96%"
"Oct 15, 2022","29.588","30.000","30.197","29.454","1.64M","-1.39%"
"Oct 14, 2022","30.004","30.507","31.967","29.643","3.67M","-1.65%"
"Oct 13, 2022","30.507","31.156","31.200","27.983","6.67M","-2.09%"
"Oct 12, 2022","31.156","30.806","31.514","30.683","1.63M","1.12%"
"Oct 11, 2022","30.810","31.937","31.954","30.490","3.06M","-3.52%"
"Oct 10, 2022","31.934","32.923","33.433","31.926","2.45M","-3.01%"
"Oct 09, 2022","32.923","32.584","33.134","32.444","1.36M","1.07%"
"Oct 08, 2022","32.576","32.970","33.070","32.398","1.40M","-1.23%"
"Oct 07, 2022","32.980","33.356","33.769","32.452","3.07M","-1.17%"
"Oct 06, 2022","33.369","34.036","34.494","33.254","3.24M","-1.97%"
"Oct 05, 2022","34.040","34.101","34.364","33.229","3.08M","-0.18%"
"Oct 04, 2022","34.101","32.884","34.391","32.844","3.12M","3.69%"
"Oct 03, 2022","32.888","32.064","33.251","31.797","3.12M","2.57%"
"Oct 02, 2022","32.064","32.437","33.010","31.932","2.41M","-1.17%"
"Oct 01, 2022","32.443","33.246","33.246","32.400","2.19M","-2.41%"
"Sep 30, 2022","33.243","33.921","35.173","32.661","6.28M","-1.99%"
"Sep 29, 2022","33.917","33.213","34.410","32.697","4.29M","2.12%"
"Sep 28, 2022","33.213","32.690","33.780","31.677","4.70M","1.60%"
"Sep 27, 2022","32.690","33.887","35.352","32.128","6.49M","-3.53%"
"Sep 26, 2022","33.887","32.316","33.940","31.890","4.84M","4.89%"
"Sep 25, 2022","32.306","33.383","34.037","31.953","2.88M","-3.33%"
"Sep 24, 2022","33.417","33.667","34.744","33.189","4.45M","-0.75%"
"Sep 23, 2022","33.670","32.417","33.950","31.257","5.11M","3.87%"
"Sep 22, 2022","32.415","30.706","32.850","30.607","4.08M","5.38%"
"Sep 21, 2022","30.761","31.413","33.374","30.110","6.19M","-2.08%"
"Sep 20, 2022","31.413","32.623","32.870","31.336","3.61M","-3.71%"
"Sep 19, 2022","32.623","31.103","33.033","30.637","4.81M","4.90%"
"Sep 18, 2022","31.100","33.695","33.987","30.875","3.15M","-7.74%"
"Sep 17, 2022","33.711","32.243","33.890","32.227","1.93M","4.58%"
"Sep 16, 2022","32.233","33.088","33.202","31.541","3.29M","-2.58%"
"Sep 15, 2022","33.088","34.113","34.755","32.564","4.83M","-3.00%"
"Sep 14, 2022","34.113","32.996","34.326","32.763","4.33M","3.39%"
"Sep 13, 2022","32.996","37.453","38.916","32.976","8.91M","-11.91%"
"Sep 12, 2022","37.458","35.006","38.296","34.426","7.16M","7.05%"
"Sep 11, 2022","34.990","35.039","35.974","34.080","2.94M","-0.19%"
"Sep 10, 2022","35.055","34.683","35.402","34.280","2.89M","0.97%"
"Sep 09, 2022","34.719","33.603","35.889","33.593","5.48M","3.32%"
"Sep 08, 2022","33.603","32.697","33.880","32.037","4.17M","2.82%"
"Sep 07, 2022","32.681","30.872","32.921","30.380","3.57M","5.86%"
"Sep 06, 2022","30.872","32.160","33.850","30.549","6.34M","-3.99%"
"Sep 05, 2022","32.157","32.151","32.485","31.160","2.30M","0.08%"
"Sep 04, 2022","32.130","31.124","32.176","31.024","1.88M","3.25%"
"Sep 03, 2022","31.120","31.250","31.273","30.817","1.33M","-0.44%"
"Sep 02, 2022","31.257","31.600","32.376","30.796","3.46M","-1.10%"
"Sep 01, 2022","31.603","31.507","31.766","30.486","3.35M","0.31%"
"Aug 31, 2022","31.507","31.454","32.904","31.197","4.12M","0.20%"
"Aug 30, 2022","31.443","32.417","33.123","30.713","5.40M","-3.01%"
"Aug 29, 2022","32.420","30.362","32.613","30.030","5.71M","6.89%"
"Aug 28, 2022","30.330","31.526","32.174","30.236","3.29M","-3.79%"
"Aug 27, 2022","31.523","31.750","32.243","30.890","4.38M","-0.73%"
"Aug 26, 2022","31.756","35.277","35.716","31.448","7.56M","-10.01%"
"Aug 25, 2022","35.290","34.892","36.470","34.886","3.82M","1.13%"
"Aug 24, 2022","34.896","35.653","36.362","34.317","4.21M","-2.13%"
"Aug 23, 2022","35.657","35.432","36.090","34.262","4.21M","0.58%"
"Aug 22, 2022","35.450","36.458","36.530","33.812","6.22M","-2.77%"
"Aug 21, 2022","36.458","35.280","37.013","34.587","5.44M","3.34%"
"Aug 20, 2022","35.280","35.876","37.254","34.294","6.96M","-1.57%"
"Aug 19, 2022","35.844","39.488","39.573","35.435","10.31M","-9.25%"
"Aug 18, 2022","39.495","40.519","41.654","39.443","4.61M","-2.53%"
"Aug 17, 2022","40.519","43.100","44.684","40.209","6.81M","-6.05%"
"Aug 16, 2022","43.127","43.713","44.296","42.595","5.08M","-1.33%"
"Aug 15, 2022","43.710","44.870","47.192","42.777","6.25M","-2.60%"
"Aug 14, 2022","44.876","46.566","48.019","44.489","4.98M","-3.64%"
"Aug 13, 2022","46.569","45.446","48.341","45.289","6.81M","2.49%"
"Aug 12, 2022","45.439","42.762","45.477","42.173","4.91M","6.27%"
"Aug 11, 2022","42.757","42.462","45.263","42.363","7.68M","0.70%"
"Aug 10, 2022","42.462","40.353","42.725","39.167","6.41M","5.23%"
"Aug 09, 2022","40.353","42.196","42.740","39.841","4.15M","-4.44%"
"Aug 08, 2022","42.230","40.603","43.664","40.570","5.25M","4.03%"
"Aug 07, 2022","40.594","40.076","41.530","39.239","2.55M","1.35%"
"Aug 06, 2022","40.055","40.560","40.893","39.877","2.31M","-1.28%"
"Aug 05, 2022","40.573","38.807","41.290","38.733","5.15M","4.56%"
"Aug 04, 2022","38.804","38.567","39.802","37.990","5.84M","0.63%"
"Aug 03, 2022","38.560","39.761","40.896","37.571","12.44M","-2.95%"
"Aug 02, 2022","39.733","41.743","42.403","39.584","5.20M","-4.83%"
"Aug 01, 2022","41.749","42.374","43.236","40.620","4.83M","-1.57%"
"Jul 31, 2022","42.416","43.840","45.150","42.267","4.71M","-3.24%"
"Jul 30, 2022","43.837","41.909","46.562","41.494","7.86M","4.60%"
"Jul 29, 2022","41.909","42.986","44.309","41.231","7.19M","-2.49%"
"Jul 28, 2022","42.980","40.259","44.136","39.053","9.91M","6.76%"
"Jul 27, 2022","40.259","36.267","40.484","35.697","8.43M","11.00%"
"Jul 26, 2022","36.270","36.643","36.806","34.707","6.75M","-1.07%"
"Jul 25, 2022","36.661","40.973","41.077","36.600","6.73M","-10.55%"
"Jul 24, 2022","40.987","39.997","42.076","39.490","4.63M","2.49%"
"Jul 23, 2022","39.990","40.536","41.897","38.664","5.16M","-1.35%"
"Jul 22, 2022","40.539","43.131","44.285","40.056","7.01M","-6.01%"
"Jul 21, 2022","43.131","42.051","44.030","39.700","9.87M","2.60%"
"Jul 20, 2022","42.040","44.890","46.260","41.383","10.21M","-6.35%"
"Jul 19, 2022","44.890","43.578","47.255","42.608","11.61M","3.01%"
"Jul 18, 2022","43.578","38.589","44.020","38.574","9.24M","13.02%"
"Jul 17, 2022","38.557","39.603","41.064","38.336","5.78M","-2.63%"
"Jul 16, 2022","39.600","37.367","40.372","36.374","5.90M","5.98%"
"Jul 15, 2022","37.367","37.139","39.020","36.586","6.75M","0.63%"
"Jul 14, 2022","37.132","34.957","37.273","33.621","8.02M","6.29%"
"Jul 13, 2022","34.937","32.674","35.020","31.942","7.13M","6.95%"
"Jul 12, 2022","32.667","33.448","34.580","32.611","4.74M","-2.34%"
"Jul 11, 2022","33.448","36.690","36.697","33.262","4.79M","-8.84%"
"Jul 10, 2022","36.690","38.070","38.101","36.327","3.04M","-3.62%"
"Jul 09, 2022","38.070","38.146","38.847","37.802","3.09M","-0.17%"
"Jul 08, 2022","38.134","38.490","39.531","36.504","7.38M","-0.91%"
"Jul 07, 2022","38.484","37.037","39.266","36.417","6.02M","3.91%"
"Jul 06, 2022","37.037","35.411","37.563","34.843","7.48M","4.59%"
"Jul 05, 2022","35.411","36.707","36.932","33.173","8.87M","-3.53%"
"Jul 04, 2022","36.706","33.397","36.893","32.475","5.67M","9.91%"
"Jul 03, 2022","33.397","33.348","33.632","32.178","3.24M","0.15%"
"Jul 02, 2022","33.348","32.843","34.018","31.902","3.95M","1.53%"
"Jul 01, 2022","32.846","33.741","35.332","31.870","9.36M","-2.67%"
"Jun 30, 2022","33.749","34.003","34.137","30.991","8.57M","-0.75%"
"Jun 29, 2022","34.003","35.328","36.027","33.160","8.77M","-3.72%"
"Jun 28, 2022","35.315","38.444","39.878","35.146","8.06M","-8.14%"
"Jun 27, 2022","38.444","39.401","41.174","37.930","6.14M","-2.45%"
"Jun 26, 2022","39.411","42.225","42.460","39.221","5.85M","-6.74%"
"Jun 25, 2022","42.260","41.889","42.613","39.776","5.85M","0.87%"
"Jun 24, 2022","41.896","38.150","42.846","37.743","9.14M","9.82%"
"Jun 23, 2022","38.150","34.091","38.482","34.010","9.78M","11.94%"
"Jun 22, 2022","34.082","36.302","36.820","33.665","9.23M","-5.97%"
"Jun 21, 2022","36.247","35.268","38.956","34.246","10.24M","2.78%"
"Jun 20, 2022","35.265","34.207","36.793","31.751","11.21M","3.09%"
"Jun 19, 2022","34.209","31.965","35.230","28.929","11.86M","7.07%"
"Jun 18, 2022","31.950","30.687","31.980","27.184","12.44M","4.18%"
"Jun 17, 2022","30.667","30.086","32.091","29.264","8.79M","1.93%"
"Jun 16, 2022","30.086","34.728","35.763","29.557","14.60M","-13.32%"
"Jun 15, 2022","34.708","29.600","34.769","26.798","17.96M","17.12%"
"Jun 14, 2022","29.633","28.507","32.104","25.966","16.97M","4.32%"
"Jun 13, 2022","28.405","30.605","30.999","26.060","20.80M","-7.23%"
"Jun 12, 2022","30.620","33.890","34.244","30.611","9.84M","-9.61%"
"Jun 11, 2022","33.874","37.149","37.900","33.240","6.89M","-8.74%"
"Jun 10, 2022","37.119","39.948","40.842","36.896","6.72M","-7.08%"
"Jun 09, 2022","39.948","38.820","41.824","38.456","6.66M","2.94%"
"Jun 08, 2022","38.805","39.330","40.830","38.307","6.28M","-1.31%"
"Jun 07, 2022","39.321","42.387","42.479","37.543","11.30M","-7.23%"
"Jun 06, 2022","42.387","38.523","44.606","38.358","10.62M","10.03%"
"Jun 05, 2022","38.523","38.956","40.152","37.843","5.36M","-1.10%"
"Jun 04, 2022","38.953","38.265","39.212","35.818","5.92M","1.80%"
"Jun 03, 2022","38.265","40.856","41.512","37.701","7.12M","-6.36%"
"Jun 02, 2022","40.864","40.100","41.546","38.156","8.19M","1.90%"
"Jun 01, 2022","40.100","45.722","46.097","39.691","7.75M","-12.29%"
"May 31, 2022","45.718","47.206","48.170","44.666","7.32M","-3.15%"
"May 30, 2022","47.206","44.967","48.217","44.267","8.29M","5.00%"
"May 29, 2022","44.960","44.263","45.533","41.824","6.94M","1.62%"
"May 28, 2022","44.245","41.083","44.931","40.324","6.16M","7.72%"
"May 27, 2022","41.076","43.404","43.889","40.053","11.56M","-5.29%"
"May 26, 2022","43.369","47.961","48.624","41.846","10.12M","-9.57%"
"May 25, 2022","47.961","49.655","50.472","47.602","4.84M","-3.42%"
"May 24, 2022","49.659","49.100","50.780","47.216","6.24M","1.15%"
"May 23, 2022","49.094","52.468","54.629","48.670","6.22M","-6.42%"
"May 22, 2022","52.460","50.293","53.126","49.675","3.78M","4.31%"
"May 21, 2022","50.293","49.414","51.186","48.596","3.00M","1.78%"
"May 20, 2022","49.414","52.150","53.550","47.879","7.13M","-5.28%"
"May 19, 2022","52.167","49.910","53.920","48.299","7.26M","4.52%"
"May 18, 2022","49.910","57.064","57.816","49.543","6.70M","-12.52%"
"May 17, 2022","57.056","53.654","58.188","53.187","6.10M","6.36%"
"May 16, 2022","53.643","58.673","58.806","51.951","7.55M","-8.56%"
"May 15, 2022","58.664","52.312","59.243","49.692","5.65M","12.13%"
"May 14, 2022","52.318","48.853","53.387","46.030","6.99M","7.14%"
"May 13, 2022","48.832","44.636","56.151","43.895","12.83M","9.43%"
"May 12, 2022","44.622","50.605","53.955","37.342","19.24M","-11.90%"
"May 11, 2022","50.647","66.690","68.310","43.394","17.77M","-24.04%"
"May 10, 2022","66.673","61.967","73.983","60.495","11.81M","7.59%"
"May 09, 2022","61.967","75.308","77.187","61.967","9.11M","-17.73%"
